0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,class,triple
1.0864489,0.21816729,0.054406673,0.4299319,-0.5317163,-1.3964032,0.30891675,1.6410401,0.016620135,-0.67910683,0.082332365,-0.08951566,-7.5937777,0.04996953,0.5049854,-0.07761246,neg,18
0.8724258,-0.31571984,1.6747863,1.1128743,1.6152146,-2.6749685,0.17960648,0.7384399,0.022551483,1.3133504,0.24621344,-0.2420947,-4.32837,0.044971973,-0.3443007,0.4296121,pos,19
-0.6851274,-0.34219643,-1.4601079,0.41099873,-1.0429109,-0.63473195,0.13884397,1.0868671,0.07881179,0.4914517,-0.93034136,-0.7891977,-5.868342,0.36838347,0.28536585,-0.71790886,neg,19
0.33814982,0.5684174,0.88752526,-0.0672584,0.17152245,-2.6072345,0.3326641,0.5025274,0.16409789,0.19314617,1.7983017,0.3979897,-2.5035388,-0.0053436966,0.021018218,0.4028857,pos,20
-0.19155574,-1.3420727,-1.1171858,-0.21799505,-0.016368551,-2.6031399,0.21443565,-0.47032934,0.09215819,-1.6914518,0.47944033,-0.056797978,-2.8904057,0.021572398,0.16484798,-0.5214806,neg,20
0.23165196,-0.9350777,0.01725748,0.29270196,0.9686423,-0.8033099,1.1046537,0.19709083,0.32914487,0.08573588,0.037479047,0.47134462,-2.6746714,1.6560706,-0.50731033,0.017956065,pos,21
0.10811665,-1.8678596,0.20740053,-0.2346363,0.0085957395,-9.758316,0.49220255,-0.19594787,0.35599706,-0.13444471,-0.6749481,0.06360979,-2.6393552,-0.04998143,0.6213373,-0.015605155,neg,21
1.2353293,0.2388097,0.012073919,-0.05960444,1.4787846,-0.52422744,0.63917243,0.23277353,0.3227469,0.06803041,-0.059341572,0.8673827,-5.5744734,0.79300416,0.28794074,0.2129285,pos,22
0.33652845,-0.6811628,0.0177011,-0.38947245,1.006087,0.029635677,0.12649295,-0.2646251,-0.8316974,-0.08136881,-0.03798132,-0.095547244,-6.9782743,1.320632,-0.2574444,-0.019248642,neg,22
0.1079351,-1.5413117,-0.07583737,-0.052487887,0.60975003,-1.0270283,1.236053,1.8959577,-0.04927371,-0.00029131433,1.6945971,0.46588233,-3.9814079,0.55058205,-0.11584831,-0.08910387,pos,23
-0.12083633,-2.7210894,0.13785422,-0.09238593,-0.34453738,-3.9972124,-1.7486465,-0.4075063,-0.070242,0.00013338504,-1.1119289,-2.0331845,-2.2295554,2.6044965,-0.040049054,0.16651344,neg,23
-0.27880704,-0.095581,0.06646814,-0.0809898,-0.54838705,-2.6033292,0.30474785,2.8807745,-0.22039655,0.92671967,0.652683,0.58060277,-4.052914,0.81711966,0.15661222,0.42070782,pos,24
-0.14257382,-2.0424397,-0.0054946793,-0.17046507,0.19584118,-5.735983,-0.4305573,0.97987705,0.31081995,1.484635,-0.69593567,0.49992096,-3.763661,0.7326441,0.0035288692,0.5775327,neg,24
-0.09857935,-0.2719928,2.530752,-0.02945117,-0.05175013,-2.7936883,2.738222,1.4571204,0.2614537,0.05529332,0.3610577,-0.15192804,-3.6272528,0.38269946,-0.6745251,0.31899104,pos,25
-0.5487179,-0.37244353,1.2481979,-0.037046406,0.2987772,-2.8513641,-2.009004,-0.39701116,0.2693565,-0.35254633,0.3195635,-0.04103736,-4.3474455,0.21510191,0.22119285,-0.503562,neg,25
-0.4828448,-0.59710157,0.23371162,1.9747133,-0.48600432,0.2948134,0.023537012,0.69229245,-0.08633394,-0.037689153,0.10788983,0.9607689,-1.6882337,-0.82027835,-0.016607309,-0.0038646443,pos,26
0.32077828,0.38961104,-0.009028233,0.19344257,-0.30650818,0.08031134,0.053300284,-0.65887845,0.13614345,-0.019365534,0.11843408,0.23485363,-10.985245,-0.859215,-0.29320788,-0.03634636,neg,26
0.73993134,-0.52826923,0.0027899046,0.023894021,0.013879449,-1.4629488,0.019216035,4.0713186,0.68007773,0.3851514,-0.30891728,0.16735178,-3.4358788,-0.20401818,-0.41980305,-0.015879007,pos,27
1.1572574,-0.9509155,-0.00057551265,0.0009356282,-0.0036824574,-1.2600459,0.3915267,1.0315207,-0.4395816,0.78059644,0.54119104,0.057125352,-1.9313492,-0.03566,-0.5089833,0.041336164,neg,27
0.095974036,0.6422846,-0.026851209,-0.023505831,0.0040611993,-4.203315,0.23616499,0.45800805,0.07981053,-0.009040974,0.9037173,0.8023272,-2.9672103,0.85860866,-0.08494734,2.125137,pos,28
0.30440974,0.54458237,0.0028224576,0.053337853,0.0016607073,-1.4520851,-0.03232624,-0.9337535,0.044891007,-0.18289296,0.14910989,0.26197615,-3.2019916,-0.9625614,0.026682105,0.692829,neg,28
-0.15066038,0.59763694,0.019104937,1.6462444,-0.06499862,-2.5859294,0.1262585,2.7013037,0.05588837,-0.0052759806,0.9212827,0.13955353,-3.1312752,0.6056358,-0.37837133,0.1533327,pos,29
0.3640405,-2.956472,0.016138017,0.27195394,-0.019721476,-1.8787044,0.898099,-1.1835344,-0.014136584,-0.00062311103,-0.0842767,0.17161158,-1.7987673,-0.19647229,-0.42211512,1.2746669,neg,29
-0.042842735,1.0470561,0.124555,0.022464288,0.055123113,-1.62402,-0.28442118,1.0750935,-0.26328942,-0.23452252,2.260558,0.33988112,-3.5639424,0.17159575,0.24633972,0.8196589,pos,30
0.018640138,2.0235925,0.15441199,-0.102308124,-0.13308358,-2.1978521,0.22755136,-0.6867973,0.27180463,-1.104189,0.7831073,-0.020786827,-6.3261275,0.44813284,-0.11367851,0.9609766,neg,30
1.2239023,-0.43367448,-0.015983488,1.303486,2.4128013,-0.61748,-0.84867734,0.10217176,0.17848778,0.1897099,0.0190053,0.6596434,-4.652081,-0.6228234,0.21581954,0.07171643,pos,31
-1.0408368,-0.23497754,-0.016654452,1.5945948,2.1433938,-0.42750087,0.25140962,0.1852003,-0.6593367,-0.47321907,-0.017765103,0.5683751,-6.095701,-1.1351691,-0.4791107,-0.20708717,neg,31
1.1396269,-0.6368687,0.2220085,0.6872544,1.8775837,-0.090830386,0.6232098,0.1543589,-0.29337442,0.13601868,-0.046946887,1.2689798,-5.1807966,0.5809287,0.46049252,-0.0074571776,pos,32
0.1637381,0.19457226,-0.14243497,-0.3672146,1.2271557,-0.011070599,0.4257221,-0.39897072,0.50402015,-0.13237852,0.0072987173,0.40925243,-9.769507,0.7576497,0.69388413,-0.008566624,neg,32
