0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,class,triple
0.8678436,-0.28106752,-0.26963326,0.57586426,-0.10934284,0.14959754,7.4894576,0.5331294,-8.240009,0.99394715,1.7292074,-1.0422294,1.3287684,1.1742725,-0.45278218,-0.028672585,pos,13
-1.9058065,0.99158823,0.07856047,-0.9957537,0.23062608,0.20132579,-8.149523,0.055034257,-8.918871,-0.1134737,-0.9905818,-4.168022,-1.9374629,0.05479582,-0.9649861,0.076520294,neg,13
-0.10457319,2.0044005,-0.18831336,2.1667726,2.0200613,0.120956585,-0.041253604,0.12370015,-5.5824037,1.2715489,1.0126902,0.6077368,-1.1368701,-0.05665005,3.2810102,-0.18262023,pos,14
0.147129,-2.776086,-0.53920245,1.3093263,4.9074087,0.25560006,0.35015014,-0.20111923,-5.868609,-2.8301675,-0.6909207,-6.073433,-0.95721364,-0.099893965,-1.22457,0.2066372,neg,14
-0.37106624,0.18757038,4.3159733,3.4949815,0.11813525,2.1516886,-2.4501975,1.5275403,-7.9370675,0.46462205,0.53268874,1.997743,0.20023873,-0.09662324,0.9918038,1.2594621,pos,15
-0.174403,0.36414364,0.934669,-2.3563824,0.07313018,0.2052152,0.43126386,1.1631285,-8.603424,0.15425037,-0.571949,-0.038154915,0.001939777,-0.08152483,-1.43225,0.08012911,neg,15
0.83657926,0.03127691,-0.016413236,0.052209612,0.0041831746,-0.386661,-0.16047409,0.112586044,-5.9337397,0.48154506,4.1737113,0.51389843,0.46605998,4.8036613,0.8749545,-0.6350948,pos,16
0.35360867,-0.050525762,-0.005194696,0.043487117,0.0048133302,0.3525089,-0.28207344,-0.07681993,-4.7263527,-0.032635905,1.7771583,-2.7098978,0.39063168,-3.0514781,1.4064087,-0.44616082,neg,16
1.8455851,0.01220481,-0.13443242,0.8005286,5.07594,0.09689135,-0.1025002,1.1628996,-6.564948,1.0736413,2.441888,0.7895008,-0.52488244,-0.08923869,-3.5769203,0.4616059,pos,17
-1.2479408,0.124706544,-0.6977135,-2.530334,8.872617,0.0032479798,-0.8724458,0.16293712,-7.6364737,0.6447951,3.222423,-0.24677576,1.0723867,0.8528905,-2.038701,-3.125365,neg,17
